Species,n,Stimulus Type,Speeds,FID,sd,min,max,Paper
Australian Magpie,50,Cyclist ,2.1,15,3,1,32,Bernard et al. 2018
Australian Magpie,50,Cyclist ,1.1,12,2,4,35,Bernard et al. 2018
Australian Magpie,39,Human,1.1,21,4,4,55,Lethlean et al. 2017
Australian Magpie,39,Human,3.1,18,2,3,47,Lethlean et al. 2017
Australian Magpie,50,Human,0.9,12,2,3,36,Bernard et al. 2018
Australian Pelican,3,Bus,2.8,95.4,54.8,,,McLeod et al. 2013
Australian Pelican,4,Human,1.4,82.2,15.4,,,McLeod et al. 2013
Australian Pelican,9,Human,1.4,123.9,104.9,,,Guay et al. 2014
Australian Pelican,2,Car,2.8,99.6,82.9,,,McLeod et al. 2013
Australian Pelican,4,Car,2.8,114.6,51.7,,,Guay et al. 2014
Australian Shelduck,11,Bicycle,2,106.1,44.8,,,McLeod et al. 2013
Australian Shelduck,20,Bus,2.8,219.7,183.8,,,McLeod et al. 2013
Australian Shelduck,32,Car,2.8,93.3,43.3,,,McLeod et al. 2013
Australian Shelduck,43,Car,2.8,106.9,48.4,,,Guay et al. 2014
Australian Shelduck,21,Human,1.4,111.5,53.6,,,McLeod et al. 2013
Australian Shelduck,42,Human,1.4,122.3,59.7,,,Guay et al. 2014
Australian Shelduck,22,Humans,1,138.9,83.1,,,McLeod et al. 2013
Australian White Ibis,6,Bus,2.8,64.9,43,,,McLeod et al. 2013
Australian White Ibis,8,Car,2.8,55.1,22.4,,,McLeod et al. 2013
Australian White Ibis,17,Car,2.8,56.2,20.3,,,Guay et al. 2014
Australian White Ibis,8,Human,1.4,49.8,26.8,,,McLeod et al. 2013
Australian White Ibis,12,Human,1.4,48.6,24.8,,,Guay et al. 2014
Australian Wood Duck,26,Cyclist ,2.1,13,3,1,28,Bernard et al. 2018
Australian Wood Duck,26,Cyclist ,1.1,12,2,8,24,Bernard et al. 2018
Australian Wood Duck,13,Human,1.1,14,4,5,36,Lethlean et al. 2017
Australian Wood Duck,13,Human,3.1,22,2,17,29,Lethlean et al. 2017
Australian Wood Duck,26,Human,0.9,11,3,1,35,Bernard et al. 2018
Black Swan,14,Bus,2.8,57,47.3,,,McLeod et al. 2013
Black Swan,5,Car,2.8,24.2,14.9,,,McLeod et al. 2013
Black Swan,18,Car,2.8,66.4,59.4,,,Guay et al. 2014
Black Swan,18,Human,1.4,47.9,20,,,McLeod et al. 2013
Black Swan,40,Human,1.4,78.3,51.1,,,Guay et al. 2014
Black Swan,6,Humans,1,97.3,71.2,,,McLeod et al. 2013
Black Swan,6,Bicycle,2,59.8,67.2,,,McLeod et al. 2013
